# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.Shell.Script.size.bytes,1777032548232000000,1777032608443000000,8047
lexer.Shell.Script.time.ns,1777032548232000000,1777032608443000000,1282684
parser.JSON.time.ns,1777032548232000000,1777032608443000000,17
parser.ECMAScript.6.size.bytes,1777032548232000000,1777032608443000000,36705
LowMemory.gcOverloaded,1777032548232000000,1777032608443000000,0
lexer.IgnoreLang.time.ns,1777032548232000000,1777032608443000000,28057
DiskQueryRelay.tasksExecuted,1777032548232000000,1777032608443000000,11196
lexer.JAVA.time.ns,1777032548232000000,1777032608443000000,1192992
lexer.Flow.JS.size.bytes,1777032548232000000,1777032608443000000,211771
parser.TypeScript.time.ns,1777032548232000000,1777032608443000000,2017650828
lexer.IgnoreLang.size.bytes,1777032548232000000,1777032608443000000,0
writeAction.max.wait.ms,1777032548232000000,1777032608443000000,33
lexer.JSON.time.ns,1777032548232000000,1777032608443000000,415558
lexer.ECMAScript.6.time.ns,1777032548232000000,1777032608443000000,1139849
lexer.TypeScript.size.bytes,1777032548232000000,1777032608443000000,3591554
writeAction.wait.ms,1777032548232000000,1777032608443000000,117
parser.Properties.time.ns,1777032548232000000,1777032608443000000,477345
writeAction.count,1777032548232000000,1777032608443000000,38
DiskQueryRelay.taskWaitingTotalTimeUs,1777032548232000000,1777032608443000000,4709906
parser.IgnoreLang.size.bytes,1777032548232000000,1777032608443000000,0
parser.ECMAScript.6.time.ns,1777032548232000000,1777032608443000000,39772568
parser.TypeScript.size.bytes,1777032548232000000,1777032608443000000,3591554
parser.Properties.size.bytes,1777032548232000000,1777032608443000000,233
writeAction.median.wait.ms,1777032548232000000,1777032608443000000,0
lexer.JSON.size.bytes,1777032548232000000,1777032608443000000,1006
lexer.Properties.size.bytes,1777032548232000000,1777032608443000000,233
DiskQueryRelay.taskExecutionTotalTimeUs,1777032548232000000,1777032608443000000,3133319
parser.Flow.JS.size.bytes,1777032548232000000,1777032608443000000,211771
parser.JSON.size.bytes,1777032548232000000,1777032608443000000,1006
LowMemory.gcLoad,1777032548232000000,1777032608443000000,3.285257757969573E-4
lexer.JAVA.size.bytes,1777032548232000000,1777032608443000000,1676
lexer.Properties.time.ns,1777032548232000000,1777032608443000000,56433
DiskQueryRelay.tasksRequested,1777032548232000000,1777032608443000000,11197
parser.JAVA.time.ns,1777032548232000000,1777032608443000000,28115800
parser.Flow.JS.time.ns,1777032548232000000,1777032608443000000,208382327
lexer.ECMAScript.6.size.bytes,1777032548232000000,1777032608443000000,24129
parser.Shell.Script.time.ns,1777032548232000000,1777032608443000000,33032161
lexer.TypeScript.time.ns,1777032548232000000,1777032608443000000,487927504
parser.JAVA.size.bytes,1777032548232000000,1777032608443000000,1676
parser.IgnoreLang.time.ns,1777032548232000000,1777032608443000000,1736600
lexer.Flow.JS.time.ns,1777032548232000000,1777032608443000000,134757350
lexer.Shell.Script.size.bytes,1777032548232000000,1777032608443000000,8047
cacheStateStorage.get.counter,1777032548232000000,1777032608443000000,24
cacheStateStorage.set.counter,1777032548232000000,1777032608443000000,7
cacheStateStorage.get.duration,1777032548232000000,1777032608443000000,54
cacheStateStorage.set.duration,1777032548232000000,1777032608443000000,31
jps.global.initialize.library.bridges.ms,1777032548232000000,1777032608443000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1777032548232000000,1777032608443000000,25
workspaceModel.delayed.project.synchronizer.sync.ms,1777032548232000000,1777032608443000000,0
jps.artifact.entities.serializer.save.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777032548232000000,1777032608443000000,7
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777032548232000000,1777032608443000000,4
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777032548232000000,1777032608443000000,1
jps.global.handle.before.change.events.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777032548232000000,1777032608443000000,2
jps.save.changed.project.entities.ms,1777032548232000000,1777032608443000000,21
jps.project.serializers.save.ms,1777032548232000000,1777032608443000000,21
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777032548232000000,1777032608443000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777032548232000000,1777032608443000000,0
jps.reload.project.entities.ms,1777032548232000000,1777032608443000000,0
jps.load.initial.state.ms,1777032548232000000,1777032608443000000,15
jps.global.get.libraries.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777032548232000000,1777032608443000000,10
workspaceModel.mutableEntityStorage.instances.count,1777032548232000000,1777032608443000000,59
jps.storage.jps.conf.reader.load.component.ms,1777032548232000000,1777032608443000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777032548232000000,1777032608443000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777032548232000000,1777032608443000000,2
jps.global.get.library.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777032548232000000,1777032608443000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777032548232000000,1777032608443000000,9
jps.facet.change.listener.before.change.events.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777032548232000000,1777032608443000000,0
jps.apply.loaded.storage.ms,1777032548232000000,1777032608443000000,56
jps.module.iml.entities.serializer.load.entities.ms,1777032548232000000,1777032608443000000,0
jps.artifact.entities.serializer.load.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.global.updates.count,1777032548232000000,1777032608443000000,3
workspaceModel.do.save.caches.ms,1777032548232000000,1777032608443000000,82
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777032548232000000,1777032608443000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777032548232000000,1777032608443000000,1
workspaceModel.moduleBridge.update.option.ms,1777032548232000000,1777032608443000000,0
jps.modifiable.module.model.bridge.disposing.ms,1777032548232000000,1777032608443000000,0
jps.global.get.library.by.name.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777032548232000000,1777032608443000000,4
workspaceModel.moduleBridge.before.changed.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777032548232000000,1777032608443000000,0
jps.modifiable.module.model.bridge.new.module.ms,1777032548232000000,1777032608443000000,13
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777032548232000000,1777032608443000000,0
jps.app.storage.content.writer.save.component.ms,1777032548232000000,1777032608443000000,2
jps.modifiable.module.model.bridge.load.module.ms,1777032548232000000,1777032608443000000,0
jps.global.handle.changed.events.ms,1777032548232000000,1777032608443000000,0
jps.project.serializers.load.ms,1777032548232000000,1777032608443000000,6
jps.load.project.to.empty.storage.ms,1777032548232000000,1777032608443000000,53
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777032548232000000,1777032608443000000,69
workspaceModel.sync.entities.ms,1777032548232000000,1777032608443000000,4
workspaceModel.load.cache.metadata.from.file.ms,1777032548232000000,1777032608443000000,0
workspaceModel.orphan.listener.update.ms,1777032548232000000,1777032608443000000,3
workspaceModel.mutableEntityStorage.entities.ms,1777032548232000000,1777032608443000000,2
jps.modifiable.module.model.bridge.renaming.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777032548232000000,1777032608443000000,0
workspaceModel.global.apply.state.to.project.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777032548232000000,1777032608443000000,0
jps.library.entities.serializer.save.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.load.cache.from.file.ms,1777032548232000000,1777032608443000000,0
workspaceModel.global.updates.ms,1777032548232000000,1777032608443000000,21
jps.facet.change.listener.process.change.events.ms,1777032548232000000,1777032608443000000,1
workspaceModel.save.cache.to.file.ms,1777032548232000000,1777032608443000000,80
workspaceModel.mutableEntityStorage.referrers.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777032548232000000,1777032608443000000,0
jps.library.entities.serializer.load.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777032548232000000,1777032608443000000,4
workspaceModel.global.apply.state.to.project.builder.ms,1777032548232000000,1777032608443000000,8
workspaceModel.mutableEntityStorage.add.entity.ms,1777032548232000000,1777032608443000000,33
jps.save.global.entities.ms,1777032548232000000,1777032608443000000,16
workspaceModel.mutableEntityStorage.put.entity.ms,1777032548232000000,1777032608443000000,15
jps.app.storage.content.reader.load.component.ms,1777032548232000000,1777032608443000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1777032548232000000,1777032608443000000,0
jps.facet.change.listener.init.bridge.ms,1777032548232000000,1777032608443000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777032548232000000,1777032608443000000,0
workspaceModel.updates.precise.ms,1777032548232000000,1777032608443000000,21
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777032548232000000,1777032608443000000,104
workspaceModel.initializing.ms,1777032548232000000,1777032608443000000,4
workspaceModel.cachedValue.total.get.count,1777032548232000000,1777032608443000000,117
workspaceModel.collect.changes.ms,1777032548232000000,1777032608443000000,0
workspaceModel.updates.ms,1777032548232000000,1777032608443000000,84
workspaceModel.on.changed.ms,1777032548232000000,1777032608443000000,56
workspaceModel.on.before.changed.ms,1777032548232000000,1777032608443000000,50
workspaceModel.cachedValueWithParameters.from.cache.count,1777032548232000000,1777032608443000000,0
workspaceModel.update.unloaded.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777032548232000000,1777032608443000000,12
workspaceModel.init.bridges.ms,1777032548232000000,1777032608443000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777032548232000000,1777032608443000000,42
workspaceModel.updates.count,1777032548232000000,1777032608443000000,8
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777032548232000000,1777032608443000000,8
